timestamp_ms,stream_type,seq,packet_bytes,decrypt_time_ms,latency_ms,jitter_ms,packet_lost,underrun,queue_size,decode_ok,play_ok
1774052524087,audio,120,2098,0.10534900047787232,2,1,0,0,16,1,1
1774052524111,audio,121,2098,0.08630400043330155,2,0,0,0,17,1,1
1774052524114,video,40,18793,0.10346599992772099,3,2,0,0,0,1,1
1774052524134,audio,122,2098,0.07995200030563865,2,0,0,0,17,1,1
1774052524157,audio,123,2098,0.08026199975574855,2,0,0,0,18,1,1
1774052524181,audio,124,2098,0.15070599965838483,3,1,0,0,17,1,1
1774052524181,video,41,18563,0.24118700002873084,3,0,0,0,0,1,1
1774052524204,audio,125,2098,0.07523200019932119,2,1,0,0,18,1,1
1774052524227,audio,126,2098,0.06886099981784355,2,0,0,0,17,1,1
1774052524248,video,42,19855,0.11133200041513192,4,1,0,0,0,1,1
1774052524250,audio,127,2098,0.06684700019832235,2,0,0,0,16,1,1
1774052524274,audio,128,2098,0.07966100019984879,3,1,0,0,17,1,1
1774052524297,audio,129,2098,0.10711300001275958,2,1,0,0,16,1,1
1774052524315,video,43,19391,0.13479499921231763,4,0,0,0,0,1,1
1774052524320,audio,130,2098,0.08628399973531486,2,0,0,0,17,1,1
1774052524343,audio,131,2098,0.10719300007622223,2,0,0,0,16,1,1
1774052524367,audio,132,2098,0.08593300026404904,2,0,0,0,17,1,1
1774052524381,video,44,19317,0.10830600058397977,3,1,0,0,0,1,1
1774052524390,audio,133,2098,0.08667399924888741,2,0,0,0,17,1,1
1774052524413,audio,134,2098,0.10707399997045286,2,0,0,0,18,1,1
1774052524436,audio,135,2098,0.10740400011854945,2,0,0,0,17,1,1
1774052524448,video,45,19143,0.11093000011896947,3,0,0,0,0,1,1
1774052524460,audio,136,2098,0.09239500013791258,2,0,0,0,18,1,1
1774052524483,audio,137,2098,0.0800319994596066,2,0,0,0,17,1,1
1774052524506,audio,138,2098,0.07996200019988464,2,0,0,0,16,1,1
1774052524515,video,46,19108,0.10766400009742938,4,1,0,0,0,1,1
1774052524530,audio,139,2098,0.10458900032972451,3,1,0,0,17,1,1
1774052524553,audio,140,2098,0.10692300020309631,2,1,0,0,16,1,1
1774052524576,audio,141,2098,0.108565999653365,2,0,0,0,17,1,1
1774052524582,video,47,19048,0.140756999826408,4,0,0,0,0,1,1
1774052524599,audio,142,2098,0.10722300066845492,2,0,0,0,16,1,1
1774052524623,audio,143,2098,0.17093499991460703,2,0,0,0,17,1,1
1774052524647,audio,144,2098,0.10610200024530059,3,1,0,0,17,1,1
1774052524648,video,48,18809,0.10606100022414466,3,1,0,0,0,1,1
1774052524670,audio,145,2098,0.10230399948341073,3,0,0,0,18,1,1
1774052524693,audio,146,2098,0.10697299967432627,3,0,0,0,17,1,1
1774052524716,video,49,18907,0.13356399995245738,4,1,0,0,0,1,1
1774052524716,audio,147,2098,0.07548400026280433,2,1,0,0,18,1,1
1774052524740,audio,148,2098,0.08994099971459946,3,1,0,0,17,1,1
1774052524763,audio,149,2098,0.07573400034743827,3,0,0,0,16,1,1
1774052524782,video,50,18681,0.11068999992858153,4,0,0,0,0,1,1
1774052524786,audio,150,2098,0.07960099992487812,2,1,0,0,17,1,1
1774052524809,audio,151,2098,0.07271800041053211,2,0,0,0,16,1,1
1774052524832,audio,152,2098,0.0700330001563998,2,0,0,0,17,1,1
1774052524849,video,51,18617,0.10769400068966206,4,0,0,0,0,1,1
1774052524856,audio,153,2098,0.08525200064468663,3,1,0,0,16,1,1
1774052524879,audio,154,2098,0.14079700031288667,2,1,0,0,17,1,1
1774052524902,audio,155,2098,0.10823499997059116,2,0,0,0,17,1,1
1774052524915,video,52,18751,0.1070930002242676,3,1,0,0,0,1,1
1774052524925,audio,156,2098,0.1068619994839537,2,0,0,0,18,1,1
1774052524949,audio,157,2098,0.08680500013724668,2,0,0,0,17,1,1
1774052524972,audio,158,2098,0.10700300026655896,2,0,0,0,18,1,1
1774052524982,video,53,18375,0.1127440000345814,3,0,0,0,0,1,1
1774052524995,audio,159,2098,0.15894099942670437,2,0,0,0,17,1,1
1774052525018,audio,160,2098,0.09683400003268616,2,0,0,0,16,1,1
1774052525042,audio,161,2098,0.09286599924962502,2,0,0,0,17,1,1
1774052525048,video,54,18658,0.12935500035382574,3,0,0,0,0,1,1
1774052525065,audio,162,2098,0.0853020001159166,2,0,0,0,16,1,1
1774052525088,audio,163,2098,0.08649400024296483,2,0,0,0,17,1,1
1774052525112,audio,164,2098,0.08721599988348316,2,0,0,0,16,1,1
1774052525115,video,55,18418,0.11405700024624821,3,0,0,0,0,1,1
1774052525135,audio,165,2098,0.10736399963207077,2,0,0,0,17,1,1
1774052525159,audio,166,2098,0.10627199935697718,2,0,0,0,16,1,1
1774052525182,audio,167,2098,0.10989800011884654,2,0,0,0,17,1,1
1774052525183,video,56,18578,0.10991900035151048,3,0,0,0,0,1,1
1774052525205,audio,168,2098,0.11084000016126083,2,0,0,0,17,1,1
1774052525229,audio,169,2098,0.08722500024305191,3,1,0,0,18,1,1
1774052525250,video,57,18162,0.14359200031321961,4,1,0,0,0,1,1
1774052525252,audio,170,2098,0.08074300058069639,2,1,0,0,17,1,1
1774052525275,audio,171,2098,0.07888000072853174,2,0,0,0,16,1,1
1774052525298,audio,172,2098,0.0770759997976711,2,0,0,0,17,1,1
1774052525317,video,58,17815,0.11560900020413101,4,0,0,0,0,1,1
1774052525322,audio,173,2098,0.10695299988583429,3,1,0,0,16,1,1
1774052525345,audio,174,2098,0.10410699997009942,2,1,0,0,17,1,1
1774052525368,audio,175,2098,0.10714299969549756,2,0,0,0,16,1,1
1774052525384,video,59,18443,0.11290499969618395,4,0,0,0,0,1,1
1774052525392,audio,176,2098,0.10767399999167537,3,1,0,0,17,1,1
1774052525415,audio,177,2098,0.10624100013956195,2,1,0,0,16,1,1
